,smiles,pi3k,mtor,rscore,pi3k_pred,mtor_pred
44,CCc1ncnc(-c2cccc(C(=O)N(CC)CC)c2)c1C#Cc1ccc(N)nc1,6.725842150736308,6.96257350205937,0.6,6.691066233229776,7.21449055347433
45,CCc1ncnc(-c2ccc(Cl)c(C(=O)N(C)C)c2)c1C#Cc1ccc(N)nc1,6.71219827006977,8.39794000867203,0.6,6.718503107681651,8.073187425791117
46,CCc1ncnc(-c2ccc(F)c(C(=O)N3CCOCC3)c2)c1C#Cc1ccc(N)nc1,6.64589156085259,7.50863830616572,0.6,6.684598482926706,7.824729632473381
47,CCc1ncnc(-c2ccc(Cl)c(C(=O)N(CC)CC)c2)c1C#Cc1ccc(N)nc1,6.266802734893429,7.76955107862172,0.7,6.498961702283754,7.7665198148685075
48,CCc1ncnc(-c2ccc(Cl)c(C(=O)N3CCCCC3)c2)c1C#Cc1ccc(N)nc1,6.224753740259758,7.55284196865778,0.7,6.436563878492931,7.879486887024323
49,CCc1ncnc(-c2ccc(Cl)c(C(=O)NC)c2)c1C#Cc1ccc(N)nc1,7.17392519729917,7.50863830616572,0.6,6.959888018184428,7.7237044262101735
50,CCc1ncnc(-c2cccc(C(=O)NC)c2)c1C#Cc1ccc(N)nc1,7.14266750356873,7.3565473235138095,0.6,7.031382948652145,7.392753014263469
52,CCc1ncnc(-c2ccc(C(=O)N(C)CCN(C)C)c(F)c2)c1C#Cc1ccc(N)nc1,6.39577394691552,7.52287874528033,0.7,6.576313963302062,7.841024419121437
53,CCc1ncnc(-c2ccc(C(=O)N(C)C3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.241088107602018,7.481486060122111,0.7,6.4479090645629515,7.702763754701559
55,CCc1ncnc(-c2ccc(C(=O)NC)c(F)c2)c1C#Cc1ccc(N)nc1,6.64781748188863,8.09691001300805,0.7,6.915401021962486,8.052108822760589
56,CCc1ncnc(-c2ccc(C(=O)N(C)CCO)c(F)c2)c1C#Cc1ccc(N)nc1,6.86966623150499,8.69897000433601,0.7,7.006048839562778,8.453773450863022
57,CCc1ncnc(-c2ccc(C(=O)N(C)CCOC)c(F)c2)c1C#Cc1ccc(N)nc1,6.98716277529482,8.69897000433601,0.7,6.943056742668372,8.404036247274236
58,CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.66756154008439,8.69897000433601,0.7,6.730324349401081,8.453496187069947
59,CCc1ncnc(-c2ccc(C(=O)N(C)CCCN(C)C)c(F)c2)c1C#Cc1ccc(N)nc1,6.2284125191187405,7.481486060122111,0.6,6.501309171831257,7.734124679224284
60,CCc1ncnc(-c2ccc(C(=O)N3CCCCC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.68613277963084,8.39794000867203,0.6,6.601592327839284,8.062675539371325
61,CCc1ncnc(-c2ccc(C(=O)N3CCCCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.96257350205937,8.69897000433601,0.6,6.82713884129309,8.356923643928702
62,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)F)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.78781239559604,8.52287874528033,0.6,6.629468148393402,8.260378944342651
63,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.505845405981551,8.39794000867203,0.7,6.5954790876346365,8.284815316768467
64,CCc1ncnc(-c2ccc(C(=O)N3CCC(C(F)(F)F)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.18909571933129,7.5686362358410095,0.7,6.355119313117296,7.7519888206336445
65,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCOCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.66756154008439,8.52287874528033,0.6,6.680207982695186,8.55860307622914
66,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCO4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.71669877129645,8.30102999566398,0.6,6.663592258369993,8.22574577051121
67,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCS(=O)(=O)C4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.7495799976910975,8.15490195998574,0.6,6.719868978920799,8.362536171228282
68,CCc1ncnc(-c2ccc(C(=O)N3CCN4CCCCC4C3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.317854923626161,8.09691001300805,0.7,6.392035503305334,8.043439203448534
69,CCc1ncnc(-c2ccc(C(=O)N3CCN(S(=O)(=O)CC)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,7.03621217265444,8.04575749056067,0.7,6.952850697439319,8.02911648386921
70,CCc1ncnc(-c2ccc(C(=O)N3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.935542010773081,8.09691001300805,0.7,6.832922246663013,8.140662063967119
71,CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.5686362358410095,8.09691001300805,0.7,6.5494364645895455,8.235952355542686
72,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,5.89653837790529,7.16749108729376,0.6,5.9190601858860425,7.52404680438782
73,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(=O)N(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.910094888560599,8.69897000433601,0.6,6.732873023308992,8.324432699611299
74,CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ccccc4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,5.99267904707725,8.04575749056067,0.6,6.2425000648820586,7.84958756187281
75,CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccccc4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.30277065724028,7.585026652029179,0.6,6.4773774907448605,7.912668837500246
76,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCN(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.2580609222708,8.15490195998574,0.6,6.306448455088866,8.030174893234404
77,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCN(C)C)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1C,6.431798275933,8.30102999566398,0.6,6.385861743770984,8.169940474283331
79,CCCCN1CCN(C(=O)c2ccc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2Cl)CC1,6.79048498545736,8.999999999999991,0.7,6.6606407511308685,8.655273732760335
82,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCS(=O)(=O)C4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.91721462968354,9.13076828026902,0.6,6.869327734133453,8.70874934302262
83,CCc1ncnc(-c2ccc(C(=O)NCCOC)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.742321425130808,8.52287874528033,0.7,6.927544847892676,8.343596624549052
87,CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccccn4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.92811799269387,8.52287874528033,0.6,6.837531738322657,8.295939083682484
88,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCCC4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.436518914605581,8.39794000867203,0.7,6.581522104752606,8.567079108853257
89,CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccccc4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.05060999335508,8.30102999566398,0.7,6.763426019198866,8.320772734867967
90,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(F)(F)F)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.301899454376612,7.744727494896691,0.2,6.5821948079692065,8.12103112523302
91,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)F)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.75202673363819,8.69897000433601,0.7,6.744086977293267,8.611834256838277
92,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)C)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.60906489289662,9.075720713938107,0.6,6.668806759200262,8.774752119409804
93,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)(C)C)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.36051351073141,8.69897000433601,0.6,6.479904080945312,8.455026224607899
95,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.73048705578208,8.69897000433601,0.7,6.791465825749435,8.498675906656855
98,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)(C)C)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.600326278518961,8.52287874528033,0.2,6.432161168532167,8.201165011340887
100,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)C)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.6757175447023,8.69897000433601,0.7,6.597400933783627,8.455579423268775
101,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCOCC4)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.91721462968354,8.999999999999991,0.7,6.770066430869028,8.632859718149756
102,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOC)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.87289520163519,8.999999999999991,0.7,6.763272079552759,8.532927641133888
103,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.67162039656126,8.52287874528033,0.6,6.683647226377287,8.29302626342662
104,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)(F)F)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,7.09151498112135,8.39794000867203,0.7,6.720787641218772,8.378894519119434
107,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCO)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.8181564120552185,8.52287874528033,0.7,6.860410354012544,8.51457931849894
108,CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.66354026615147,8.69897000433601,0.6,6.701312548463735,8.341908355797232
110,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCN(C)C)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.26280735729526,8.09691001300805,0.6,6.380964143974933,8.08022133592649
112,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCN(C)CC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.6882461389442405,8.52287874528033,0.7,6.648284372071003,8.37441082732704
113,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCOCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.6307841425898495,8.69897000433601,0.6,6.708667456886705,8.688747503834245
114,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCN(C)CC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.7033348097384575,8.69897000433601,0.7,6.6168703385098375,8.602273140543296
115,CCc1ncnc(-c2ccc(C(=O)NC3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.36051351073141,7.52287874528033,0.6,6.5315178150461755,7.680075908712462
116,CCc1ncnc(-c2ccc(C(=O)C3CCC(C)(O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.95860731484177,8.69897000433601,0.7,6.887152575555344,8.492589535280509
117,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCN(C5CCN(C)CC5)CC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.61261017366126,8.69897000433601,0.7,6.328058332508009,8.438064457767625
118,CCc1ncnc(-c2ccc(C(=O)N(C)O)c(F)c2)c1C#Cc1ccc(N)nc1,7.37675070960209,8.39794000867203,0.6,7.176659208214589,8.139165446697453
119,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)(F)F)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.87614835903291,8.52287874528033,0.7,6.821715480632564,8.450632681381304
120,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCCCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.30980391997148,8.30102999566398,0.6,6.4726679339091,8.107506297400839
122,CCc1ncnc(-c2ccc(C(=O)N(C)CC3CCCN(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.489454989793379,7.619788758288389,0.7,6.451313431423262,7.697902718441247
123,CCc1ncnc(-c2ccc(C(=O)NCC3CCCN(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.20065945054641,7.481486060122111,0.7,6.427280750887271,7.504469428889852
124,CCc1ncnc(-c2ccc(C(=O)NCC3CCN(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.474955192963152,7.481486060122111,0.7,6.524320257949189,7.598906542236181
125,CCc1ncnc(-c2ccc(C(=O)N(C)CC3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.4698003017969095,7.886056647693159,0.7,6.5104909943153695,7.7726980472026
126,CCc1ncnc(-c2ccc(C(=O)NCC3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.518557371497692,7.55284196865778,0.7,6.524898591994335,7.666212291905422
127,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCN(CC)CC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.51570016065321,8.30102999566398,0.6,6.519716026280797,8.35802900421398
128,CCc1ncnc(-c2ccc(C(=O)N3CCC(C(C)(C)O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.76955107862172,8.999999999999991,0.7,6.712646890324098,8.51670788325809
129,CCc1ncnc(-c2ccc(C(=O)N(C)CCC3(O)CCCC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.16749108729376,8.30102999566398,0.6,6.884003629015825,8.223911629958465
130,CCc1ncnc(-c2ccc(C(=O)N(C)CC(C)(C)O)c(F)c2)c1C#Cc1ccc(N)nc1,7.07572071393811,8.39794000867203,0.7,6.961233506930595,8.267199219649449
131,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)=O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.83564714421556,8.39794000867203,0.7,6.801351117355862,8.058724034934578
132,CCCCN1CCN(C(=O)c2ccc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2F)CC1,6.65955588515988,8.39794000867203,0.6,6.639340270762268,8.493763489840333
133,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCOCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.89619627904404,8.52287874528033,0.7,6.86109586750672,8.7761469077564
134,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(=O)N(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.93930215964638,8.15490195998574,0.6,6.906515263719035,8.480218494079468
135,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCS(=O)(=O)C4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.02227639471115,8.39794000867203,0.7,6.8988026779825695,8.580080002755542
136,CCc1ncnc(-c2ccc(C(=O)N3CCN4CCCCC4C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.63264407897398,8.15490195998574,0.7,6.551249216251851,8.253556796187148
137,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCO4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.92811799269387,8.39794000867203,0.6,6.844480143181528,8.443289602038469
138,CCc1ncnc(-c2ccc(C(=O)N3CCN(S(=O)(=O)CC)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.2839966563652,8.30102999566398,0.7,7.133738582250854,8.266080315871296
139,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)=O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.20760831050174,8.22184874961635,0.8,6.974622937591612,8.266168894998252
140,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.96257350205937,8.39794000867203,0.6,6.949083327437943,8.580787464679144
141,CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccccn4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.90657831483776,8.15490195998574,0.6,6.80743189141374,8.105379017842022
142,CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccncc4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.5751183633689285,8.15490195998574,0.6,6.7220467728301845,8.046385899251815
143,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,5.7387371312075,7.4089353929735005,0.6,6.099948070697578,7.74159063591508
144,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOC)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.8386319977650185,8.22184874961635,0.6,6.832936587199334,8.5799728783606
145,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.82102305270683,8.22184874961635,0.7,6.6299226056562155,8.418237667230008
146,CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ccccc4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.3223930472794985,7.92081875395237,0.6,6.423387949693593,8.067131393400071
147,CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccccc4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.701146923590291,8.0,0.7,6.658265375556395,8.130212669027506
148,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCN(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.34486156518861,7.7958800173440705,0.6,6.462942714088403,8.146429482106694
149,CCc1ncnc(-c2ccc(C(=O)N3CCC(N(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.459670525209121,7.7958800173440705,0.6,6.568728111376936,7.986902104277061
151,CCc1ncnc(-c2ccc(C(=O)N3CCC(O)(CN(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.32790214206428,7.55284196865778,0.2,6.525951364575907,7.785672096317078
152,CCc1ncnc(-c2ccc(C(=O)N3CCC(CCO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.903089986991942,8.22184874961635,0.2,6.77919472671863,8.214132646007391
154,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.60380065290426,8.30102999566398,0.6,6.6030038517638365,8.154297810700092
155,CCc1ncnc(-c2ccc(C(=O)N3CCN(OC)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.0861861476162815,8.04575749056067,0.2,6.9543790354387305,8.184114561939364
156,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCC(C)CC4)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.50445566245355,7.886056647693159,0.7,6.47971707555375,7.954009487367434
157,CCc1ncnc(-c2ccc(C(=O)N3CCCC(O)C3)c(F)c2)c1C#Cc1ccc(N)nc1,7.19382002601611,8.22184874961635,0.6,7.015023281955521,8.214307426040262
158,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCCCCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.444905551421679,7.619788758288389,0.7,6.417598843995764,7.851176873654517
159,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.49079747766889,7.76955107862172,0.6,6.563109628300204,8.024080534305917
160,CCc1ncnc(-c2ccc(C(=O)N3CCNCC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.2441251443275,7.886056647693159,0.6,6.926520621912227,8.046148590864227
161,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCN(C)C4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.725842150736308,7.92081875395237,0.6,6.469585931308093,7.882364726283771
162,CCOC(=O)N1CCN(C(=O)c2ccc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2F)CC1,6.88941028970075,7.7958800173440705,0.7,6.9302371952788215,8.029738421221253
163,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(=NC)NC#N)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.5686362358410095,8.09691001300805,0.2,7.236088354578806,8.157811234908575
164,CCc1ncnc(-c2ccc(C(=O)N3CCCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.393618634889388,7.76955107862172,0.7,6.598628677242742,7.907226533960658
165,CCc1ncnc(-c2ccc(C(=O)N(C)CCN3CCCC3=O)c(F)c2)c1C#Cc1ccc(N)nc1,7.259637310505751,7.85387196432176,0.6,7.055253643881128,7.989656295887574
