,smiles,reward,rank,spaya_score,spaya_nb_steps,status,objective,SA_score,type,dataset,method,property,tb_synthesizability
41,COc1cccc(NC(=O)Cn2c(=O)c3ccccc3n(CC(=O)NCCN(C)C)c2=O)c1OC,0.8691462666191475,41,0.7,2,DONE,0.8691462666191475,2.358683293558558,ws,chembl,smiles_lstm,Osimertinib MPO,1
42,COc1cccc(NC(=O)CNC(=O)Cn2c(=O)n(CCN(C)C)c(=O)c3ccccc32)c1OC,0.8691462666191475,42,0.8,2,DONE,0.8691462666191475,2.3813153316235844,ws,chembl,smiles_lstm,Osimertinib MPO,1
43,COc1ccc(OC)c(NC(=O)Cn2c(=O)n(CC(=O)NCCN(C)C)c(=O)c3ccccc32)c1,0.8691462666191475,43,0.7,2,DONE,0.8691462666191475,2.2844507796806823,ws,chembl,smiles_lstm,Osimertinib MPO,1
44,COc1ccc(OC)c(NC(=O)Cn2c(=O)c3ccccc3n(CC(=O)NCCN(C)C)c2=O)c1,0.8691462666191475,44,0.7,2,DONE,0.8691462666191475,2.2844507796806823,ws,chembl,smiles_lstm,Osimertinib MPO,1
45,COc1ccc(OC)c(NC(=O)CNC(=O)Cn2c(=O)n(CCN(C)C)c(=O)c3ccccc32)c1,0.8691462666191475,45,0.8,2,DONE,0.8691462666191475,2.3070828177457106,ws,chembl,smiles_lstm,Osimertinib MPO,1
46,COc1cc(NC(=O)Cn2c(=O)n(CC(=O)NCCN(C)C)c(=O)c3ccccc32)cc(OC)c1,0.8691462666191475,46,0.7,2,DONE,0.8691462666191475,2.3414940786497542,ws,chembl,smiles_lstm,Osimertinib MPO,1
47,COc1cccc(NC(=O)Cn2c(=O)n(C(=O)NCCN(C)C)c(=O)c3ccccc32)c1OC,0.8688417837324854,47,0.7,4,DONE,0.8688417837324854,2.5122717634541125,ws,chembl,smiles_lstm,Osimertinib MPO,1
48,COc1ccc(OC)c(NC(=O)Cn2c(=O)n(C(=O)NCCN(C)C)c(=O)c3ccccc32)c1,0.8688417837324854,48,0.7,2,DONE,0.8688417837324854,2.4356701267929033,ws,chembl,smiles_lstm,Osimertinib MPO,1
49,COc1cc(NC(=O)Cn2c(=O)n(C(=O)NCCN(C)C)c(=O)c3ccccc32)cc(OC)c1,0.8688417837324854,49,0.7,3,DONE,0.8688417837324854,2.4945339565801365,ws,chembl,smiles_lstm,Osimertinib MPO,1
50,COc1cc(N)ccc1NC(=O)Cn1c(=O)n(CC(=O)NCCN(C)C)c(=O)c2ccccc21,0.8688417837324854,50,0.7,3,DONE,0.8688417837324854,2.3498004050253094,ws,chembl,smiles_lstm,Osimertinib MPO,1
51,COc1ccc(NC(=O)Cn2c(=O)n(CCN3CCN(c4ncccn4)CC3)c(=O)c3ccccc32)cc1OC,0.8687035348819913,51,0.7,3,DONE,0.8687035348819913,2.4734422685224597,ws,chembl,smiles_lstm,Osimertinib MPO,1
52,COc1cc(NC(=O)Cn2c(=O)n(CCN3CCN(c4ccncn4)CC3)c(=O)c3ccccc32)cc(OC)c1,0.8687035348819913,52,0.7,3,DONE,0.8687035348819913,2.582961733405403,ws,chembl,smiles_lstm,Osimertinib MPO,1
53,CCN(CC(=O)Nc1ccc(OC)cc1OC)CC(O)Cn1c(=O)c2ccccc2n(C)c1=O,0.8686774567648557,53,0.7,2,DONE,0.8686774567648557,2.836568124062506,ws,chembl,smiles_lstm,Osimertinib MPO,1
54,COc1cccc(NC(=O)CN(C)CC(O)Cn2c(=O)c3ccccc3n(C)c2=O)c1OC,0.8685278768526671,54,0.7,3,DONE,0.8685278768526671,2.8754967790393717,ws,chembl,smiles_lstm,Osimertinib MPO,1
55,COc1cccc(NC(=O)CN(C)CC(=O)Cn2c(=O)n(C)c(=O)c3ccccc32)c1OC,0.8685278768526671,55,0.7,3,DONE,0.8685278768526671,2.465446286311053,ws,chembl,smiles_lstm,Osimertinib MPO,1
56,COc1ccc(OC)c(NC(=O)CN(C)CC(O)Cn2c(=O)c3ccccc3n(C)c2=O)c1,0.8685278768526671,56,0.7,2,DONE,0.8685278768526671,2.796369813697023,ws,chembl,smiles_lstm,Osimertinib MPO,1
57,COc1cc(NC(=O)CN(C)CC(O)Cn2c(=O)c3ccccc3n(C)c2=O)cc(OC)c1,0.8685278768526671,57,0.7,2,DONE,0.8685278768526671,2.8571742093014176,ws,chembl,smiles_lstm,Osimertinib MPO,1
58,COc1cc(N)ccc1NC(=O)Cn1c(=O)n(C(=O)NCCN(C)C)c(=O)c2ccccc21,0.8685278768526671,58,0.7,3,DONE,0.8685278768526671,2.5104630234200975,ws,chembl,smiles_lstm,Osimertinib MPO,1
59,COc1ccc(NC(=O)Cn2c(=O)n(CCNC(=O)CN3CCN(c4ccncc4)CC3)c(=O)c3ccccc32)cc1O,0.868482238121165,59,0.7,4,DONE,0.868482238121165,2.612569566025046,ws,chembl,smiles_lstm,Osimertinib MPO,1
60,COc1ccccc1NC(=O)Cn1c(=O)n(CCN2CCN(c3ncccn3)CC2)c(=O)c2ccccc21,0.8679773043497775,60,0.7,1,DONE,0.8679773043497775,2.4055014214322785,ws,chembl,smiles_lstm,Osimertinib MPO,1
61,COc1ccccc1NC(=O)CN(C)CC(=O)Cn1c(=O)n(Cc2nc(C)no2)c(=O)c2ccccc21,0.8679205428020477,61,0.7,5,DONE,0.8679205428020477,2.632539104383012,ws,chembl,smiles_lstm,Osimertinib MPO,1
62,COc1ccc(OC)c(NC(=O)Cn2c(=O)n(CC(=O)N3CCN(c4ncccn4)CC3)c(=O)c3ccccc32)c1,0.8679183667793983,62,0.7,1,DONE,0.8679183667793983,2.5144116900842324,ws,chembl,smiles_lstm,Osimertinib MPO,1
63,COc1ccc(NC(=O)CNCCN(C)C)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,0.8678960635667784,63,0.7,3,DONE,0.8678960635667784,2.8457357842538595,ws,chembl,smiles_lstm,Osimertinib MPO,1
64,COc1cc(OC)c(OC)cc1NC(=O)CNC(=O)Cn1c(=O)n(CCN2CCN(c3ccncc3)CC2)c(=O)c2ccccc21,0.8678008020657059,64,0.7,3,DONE,0.8678008020657059,2.7004324877146644,ws,chembl,smiles_lstm,Osimertinib MPO,1
65,COc1ccc(NC(=O)Cn2c(=O)n(CN3CCOCC3)c(=O)c3ccccc32)c(OC)c1,0.8675571265970585,65,0.7,2,DONE,0.8675571265970585,2.303831061764731,ws,chembl,smiles_lstm,Osimertinib MPO,1
66,COc1ccncc1NC(=O)Cn1c(=O)n(CC(=O)NCCCN(C)C)c(=O)c2ccccc21,0.8672519476419457,66,0.7,6,DONE,0.8672519476419457,2.4061580964716,ws,chembl,smiles_lstm,Osimertinib MPO,1
67,COCCN(CC(=O)Nc1ccccc1OC)CC(O)Cn1c(=O)c2ccccc2n(C)c1=O,0.8672519476419457,67,0.7,3,DONE,0.8672519476419457,2.840745863747234,ws,chembl,smiles_lstm,Osimertinib MPO,1
68,COc1ccccc1NC(=O)COC(=O)Cn1c(=O)n(CCN(C)C)c(=O)c2ccccc21,0.8669150047556463,68,0.7,3,DONE,0.8669150047556463,2.2256601089432717,ws,chembl,smiles_lstm,Osimertinib MPO,1
69,COc1ccc(NC(=O)COC(=O)Cn2c(=O)n(C(=O)NCCN(C)C)c(=O)c3ccccc32)c(OC)c1,0.8666928612384346,69,0.7,4,DONE,0.8666928612384346,2.5767029998538558,ws,chembl,smiles_lstm,Osimertinib MPO,1
70,COc1ccc(NC(=O)Cn2c(=O)n(CCN3CCOCC3)c(=O)c3ccccc32)c(OC)c1,0.8666627931327563,70,0.8,2,DONE,0.8666627931327563,2.2678838679979556,ws,chembl,smiles_lstm,Osimertinib MPO,1
71,COc1cc(N2CCN(C)CC2)ccc1NC(=O)COC(=O)Cn1cnc2ccccc2c1=O,0.8666420948562434,71,0.7,3,DONE,0.8666420948562434,2.283327325571312,ws,chembl,smiles_lstm,Osimertinib MPO,1
72,COc1ccccc1NC(=O)Cn1c(=O)c(C(=O)NCCN(C)C)c(N)c2cccnc21,0.866567516978705,72,0.7,4,DONE,0.866567516978705,2.4456075505203962,ws,chembl,smiles_lstm,Osimertinib MPO,1
73,COc1ccc(NC(=O)CN(C)CC(=O)Nn2c(N)nc3ccccc3c2=O)c(OC)c1,0.866567516978705,73,0.7,3,DONE,0.866567516978705,2.4393067726465834,ws,chembl,smiles_lstm,Osimertinib MPO,1
74,COc1ccc(OC)c(NC(=O)CN(C)CC(O)Cn2c(=O)c3ccccc3n(CC(=O)NCc3ccco3)c2=O)c1,0.8664480318832769,74,0.7,4,DONE,0.8664480318832769,3.09942171244377,ws,chembl,smiles_lstm,Osimertinib MPO,1
75,COc1ccc(NC(=O)CN(C)CC(=O)Cn2c(=O)n(CCN(C)C)c(=O)c3ccccc32)c(OC)c1,0.8663640257079016,75,0.7,5,DONE,0.8663640257079016,2.560135858646847,ws,chembl,smiles_lstm,Osimertinib MPO,1
76,COc1cccc(OC)c1NC(=O)CNC(=O)Cn1c(=O)n(CCN2CCN(c3cccnc3)CC2)c(=O)c2ccccc21,0.8662312515676625,76,0.7,5,DONE,0.8662312515676625,2.687989094814906,ws,chembl,smiles_lstm,Osimertinib MPO,1
77,COc1cccc(NC(=O)Cn2c(=O)n(CCNC(=O)CN3CCN(c4ccccn4)CC3)c(=O)c3ccccc32)c1OC,0.8662312515676623,77,0.7,4,DONE,0.8662312515676623,2.6203945893203997,ws,chembl,smiles_lstm,Osimertinib MPO,1
78,COc1ccc(OC)c(NC(=O)Cn2c(=O)c3ccccc3n(CC(=O)NCCN3CCN(c4ccccn4)CC3)c2=O)c1,0.8662312515676623,78,0.7,3,DONE,0.8662312515676623,2.5617956882214994,ws,chembl,smiles_lstm,Osimertinib MPO,1
79,COc1ccc(OC)c(NC(=O)CNC(=O)Cn2c(=O)n(CCN3CCN(c4ccccn4)CC3)c(=O)c3ccccc32)c1,0.8662312515676623,79,0.7,3,DONE,0.8662312515676623,2.5828506332764434,ws,chembl,smiles_lstm,Osimertinib MPO,1
80,COc1cc(NC(=O)Cn2c(=O)n(CCNC(=O)CN3CCN(c4ccccn4)CC3)c(=O)c3ccccc32)cc(OC)c1,0.8662312515676623,80,0.7,4,DONE,0.8662312515676623,2.6071616222874336,ws,chembl,smiles_lstm,Osimertinib MPO,1
81,COc1ccncc1NC(=O)CN(C)CC(O)Cn1c(=O)c2ccccc2n(C)c1=O,0.8662089809868598,81,0.8,2,DONE,0.8662089809868598,2.9192053433947436,ws,chembl,smiles_lstm,Osimertinib MPO,1
82,COc1ccnc(NC(=O)Cn2c(=O)n(CCN(C)C)c(=O)c3ccccc32)c1OC,0.8662089809868598,82,0.7,4,DONE,0.8662089809868598,2.4328949379494453,ws,chembl,smiles_lstm,Osimertinib MPO,1
83,COc1ccccc1N1CCN(CC(=O)NNC(=O)Cn2c(=O)n(-c3ncccn3)c(=O)c3ccccc32)CC1,0.866184672830948,83,0.7,3,DONE,0.866184672830948,2.605830763505738,ws,chembl,smiles_lstm,Osimertinib MPO,1
84,COc1cc(OC)c(OC)cc1NC(=O)Cn1c(=O)n(C(=O)NCCN(C)C)c(=O)c2ccccc21,0.8660254037844386,84,0.7,4,DONE,0.8660254037844386,2.5209137528199452,ws,chembl,smiles_lstm,Osimertinib MPO,1
85,COc1cc(OC)c(NC(=O)Cn2c(=O)n(CC(=O)NCCN(C)C)c(=O)c3ccccc32)cc1O,0.8660254037844386,85,0.7,3,DONE,0.8660254037844386,2.438627039533232,ws,chembl,smiles_lstm,Osimertinib MPO,1
86,COc1cc(NC(=O)Cn2c(=O)n(C(=O)NCCN(C)C)c(=O)c3ccccc32)c(OC)c(OC)c1,0.8660254037844386,86,0.7,3,DONE,0.8660254037844386,2.605538927645119,ws,chembl,smiles_lstm,Osimertinib MPO,1
87,COc1ccc(NC(=O)COC(=O)Cn2c(=O)n(Cc3nccn3C)c(=O)c3ccccc32)c(OC)c1,0.865953511689453,87,0.7,6,DONE,0.865953511689453,2.478049311483602,ws,chembl,smiles_lstm,Osimertinib MPO,1
88,COc1ccccc1NC(=O)Cn1c(=O)n(CC(=O)N2CCN(c3ncccn3)CC2)c(=O)c2ccccc21,0.8658639071986237,88,0.7,1,DONE,0.8658639071986237,2.4257804243570114,ws,chembl,smiles_lstm,Osimertinib MPO,1
89,COc1cc(N2CCN(C)CC2)ccc1NC(=O)Cn1c(=O)c2ccccc2n(CC(=O)NCCN(C)C)c1=O,0.8658639071986237,89,0.7,2,DONE,0.8658639071986237,2.522410997619451,ws,chembl,smiles_lstm,Osimertinib MPO,1
90,COc1cc(OC)c(OC)cc1NC(=O)CN(C)CC(O)Cn1c(=O)c2ccccc2n(C)c1=O,0.8656765515872683,90,0.7,2,DONE,0.8656765515872683,2.8831522298625334,ws,chembl,smiles_lstm,Osimertinib MPO,1
91,COc1cc(OC)c(NC(=O)Cn2c(=O)n(C(=O)NCCN(C)C)c(=O)c3ccccc32)cc1O,0.8656765515872683,91,0.7,4,DONE,0.8656765515872683,2.589650120481636,ws,chembl,smiles_lstm,Osimertinib MPO,1
92,COc1cc(NC(=O)CN(C)CC(O)Cn2c(=O)c3ccccc3n(C)c2=O)c(OC)c(OC)c1,0.8656765515872683,92,0.7,4,DONE,0.8656765515872683,2.9704219414009945,ws,chembl,smiles_lstm,Osimertinib MPO,1
93,COc1ccc(NC(=O)CN(C)CC(=O)Cn2c(=O)n(CC(=O)NCc3ccco3)c(=O)c3ccccc32)c(OC)c1,0.8653350752126563,93,0.7,5,DONE,0.8653350752126563,2.6947861773783863,ws,chembl,smiles_lstm,Osimertinib MPO,1
94,COc1cc(N)c(NC(=O)Cn2c(=O)n(CCCN(C)C)c(=O)c3ccccc32)c(OC)c1,0.8652757504364746,94,0.7,3,DONE,0.8652757504364746,2.45746420685205,ws,chembl,smiles_lstm,Osimertinib MPO,1
95,COc1ccccc1NC(=O)NNC(=O)Cn1c(=O)n(CCN2CCN(c3ccncc3)CC2)c(=O)c2ccccc21,0.8649386107806635,95,0.7,3,DONE,0.8649386107806635,2.6094813113661264,ws,chembl,smiles_lstm,Osimertinib MPO,1
96,COc1cccc(NC(=O)CNCC(O)Cn2c(=O)n(CCCN(C)C)c(=O)c3ccccc32)c1OC,0.8648454150926429,96,0.7,3,DONE,0.8648454150926429,3.016842958033454,ws,chembl,smiles_lstm,Osimertinib MPO,1
97,COc1ccc(NC(=O)CNNC(=O)Cn2c(=O)n(CCCN(C)C)c(=O)c3ccccc32)c(OC)c1,0.8648454150926429,97,0.7,4,DONE,0.8648454150926429,2.543377228413572,ws,chembl,smiles_lstm,Osimertinib MPO,1
98,COc1ccccc1NC(=O)Cn1c(=O)n(C(=O)NCCNC(=O)CN2CCN(c3ncccn3)CC2)c(=O)c2ccccc21,0.8646775002385805,98,0.7,5,DONE,0.8646775002385805,2.765671501924288,ws,chembl,smiles_lstm,Osimertinib MPO,1
99,COc1ccccc1NC(=O)CNC(=O)Cn1c(=O)n(CCN2CCN(c3ccccn3)CC2)c(=O)c2ccccc21,0.8645596453993253,99,0.7,5,DONE,0.8645596453993253,2.4936084569478165,ws,chembl,smiles_lstm,Osimertinib MPO,1
0,NC(=O)Nc1ccc(OCCCN2CCC(C(O)(c3ccccc3)c3cccnc3)CC2)cc1,0.9132974013133361,0,0.7,3,DONE,0.9132974013133361,2.8669904570486686,ws,chembl,smiles_lstm,Fexofenadine MPO,1
1,O=C(O)c1cccc(C(=O)NCCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)c1,0.913096879921566,1,0.7,3,DONE,0.913096879921566,2.2807280764983915,ws,chembl,smiles_lstm,Fexofenadine MPO,1
2,O=C(O)C(O)c1ccc(OCCCN2CCC(C(O)(c3ccccn3)c3ccccn3)CC2)cc1,0.912283945799738,2,0.7,3,DONE,0.912283945799738,3.188323302787132,ws,chembl,smiles_lstm,Fexofenadine MPO,1
3,NC(=O)c1ccc(NCCCN2CCC(C(O)(c3ccccc3)c3ccc(O)cc3)CC2)cc1,0.9111845825300209,3,0.6,5,DONE,0.9111845825300209,2.8043116358698477,ws,chembl,smiles_lstm,Fexofenadine MPO,1
4,O=C(O)c1ccccc1OCC(O)CN1CCC(C(O)(c2ccccc2)c2ccccc2)CC1,0.9039899963075203,4,0.7,3,DONE,0.9039899963075203,2.7744110079263624,ws,chembl,smiles_lstm,Fexofenadine MPO,1
5,NC(=O)c1ccc(OCCCN2CCC(C(O)(c3ccccc3)c3cccnc3)CC2)cc1,0.902288907220003,5,0.7,2,DONE,0.902288907220003,2.816496520163632,ws,chembl,smiles_lstm,Fexofenadine MPO,1
6,O=C(O)C(=O)Nc1ccc(OCC(O)CN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0.900068581879409,6,0.8,2,DONE,0.900068581879409,2.886801321779984,ws,chembl,smiles_lstm,Fexofenadine MPO,1
